# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 331K of event 'cycles'
# Event count (approx.): 21195403568036
#
# Children      Self  Command          Shared Object              Symbol                                          
# ........  ........  ...............  .........................  ................................................
#
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] clear_buddies
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] cpumask_next_wrap
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] chacha_block_generic
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] swap_free
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] do_wp_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] wp_page_copy
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] invoke_rcu_core
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] is_cpu_allowed
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] mem_cgroup_charge_statistics.constprop.0
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] rebalance_domains
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] __bitmap_and
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] check_preempt_curr
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] irq_work_tick
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] ttwu_do_wakeup
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] rcu_dynticks_eqs_exit
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] post_alloc_hook
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] split_map_pages
     0.00%     0.00%  redis-server     libc.so.6                  [.] epoll_wait
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] acct_account_cputime
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] pte_to_swp_entry
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] mod_node_page_state
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] vfs_open
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] deactivate_task
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] note_gp_changes
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] _raw_spin_lock_irq
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] PageHuge
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __run_timers.part.0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] native_load_tls
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] clear_buddies
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] switch_mm_irqs_off
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] arch_scale_freq_tick
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] free_swap_slot
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __swap_entry_free
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] flush_tlb_func
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __mod_lruvec_state
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] calc_load_nohz_start
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] x2apic_send_IPI
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __do_sys_brk
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __x64_sys_brk
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] page_add_anon_rmap
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] pick_next_task_fair
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] psi_flags_change
     0.00%     0.00%  irqbalance       [kernel.kallsyms]          [k] do_syscall_64
     0.00%     0.00%  irqbalance       [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] cpuacct_charge
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] put_prev_task_idle
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] ktime_get
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]          [k] migrate_page
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]          [k] move_to_new_page
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] inc_zone_page_state
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __rdgsbase_inactive
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] cr4_update_irqsoff
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] rcu_qs
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] intel_cpufreq_update_pstate
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] down_read
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] __lock_text_start
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] zcomp_stream_put
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] hrtimer_forward
     0.00%     0.00%  top              [kernel.kallsyms]          [k] do_syscall_64
     0.00%     0.00%  top              [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] __bitmap_or
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] update_min_vruntime
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] update_rt_rq_load_avg
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] swap_set_page_dirty
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] wake_up_q
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] scheduler_tick
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] tick_sched_handle
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] tick_sched_timer
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] update_process_times
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] attach_entity_load_avg
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] do_syscall_64
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] isolate_lru_page
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] __put_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] run_timer_softirq
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] memcg_check_events
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] _warn_unseeded_randomness
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] zone_watermark_ok
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] __schedule
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] schedule_timeout
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] wakeup_kswapd
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] wake_all_kswapds
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] __cgroup_account_cputime
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] lock_page_lruvec_irq
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] update_cfs_group
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] ktime_get_with_offset
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] mm_trace_rss_stat
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] raw_spin_rq_unlock
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] wake_up_process
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]          [k] clear_page_erms
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]          [k] post_alloc_hook
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]          [k] split_map_pages
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] read_tsc
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] insert_zspage
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] psi_task_switch
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] iov_iter_init
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] jiffies_to_usecs
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] mem_cgroup_migrate
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __mod_lruvec_page_state
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] blkcg_rstat_flush
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] update_wall_time
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] cpus_share_cache
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] native_apic_msr_eoi_write
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] native_smp_send_reschedule
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] get_next_freq
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] lock_page_lruvec_irq
     0.00%     0.00%  irqbalance       [kernel.kallsyms]          [k] __x64_sys_read
     0.00%     0.00%  irqbalance       [kernel.kallsyms]          [k] ksys_read
     0.00%     0.00%  irqbalance       [kernel.kallsyms]          [k] new_sync_read
     0.00%     0.00%  irqbalance       [kernel.kallsyms]          [k] proc_reg_read_iter
     0.00%     0.00%  irqbalance       [kernel.kallsyms]          [k] seq_read_iter
     0.00%     0.00%  irqbalance       [kernel.kallsyms]          [k] vfs_read
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] seq_put_decimal_ull_width
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] seq_put_decimal_ull
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] __x64_sys_write
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] ext4_buffered_write_iter
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] ext4_file_write_iter
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] generic_perform_write
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] ksys_write
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] new_sync_write
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] vfs_write
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] num_to_str
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] timespec64_add_safe
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] sugov_get_util
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] rwsem_down_read_slowpath
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] get_next_freq
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] path_lookupat
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] rcu_report_qs_rnp
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] mprotect_fixup
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __x64_sys_exit_group
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] do_exit
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] do_group_exit
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] exit_mmap
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] mmput
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] _raw_read_lock
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] hrtimer_active
     0.00%     0.00%  redis-server     [unknown]                  [.] 0000000000000000
     0.00%     0.00%  top              [kernel.kallsyms]          [k] __x64_sys_read
     0.00%     0.00%  top              [kernel.kallsyms]          [k] ksys_read
     0.00%     0.00%  top              [kernel.kallsyms]          [k] proc_single_show
     0.00%     0.00%  top              [kernel.kallsyms]          [k] seq_read
     0.00%     0.00%  top              [kernel.kallsyms]          [k] seq_read_iter
     0.00%     0.00%  top              [kernel.kallsyms]          [k] vfs_read
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] copy_page
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] newidle_balance
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] swapcache_free_entries
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] do_wp_page
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] wp_page_copy
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] __x64_sys_openat
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] do_filp_open
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] do_sys_openat2
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] path_openat
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] _find_first_bit
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] native_read_msr
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] lru_add_drain_cpu
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] lru_add_drain
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] x86_pmu_disable
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] _find_first_bit
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] native_irq_return_iret
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] numa_migrate_prep
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] insert_zspage
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] call_timer_fn
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] process_timeout
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] __run_timers.part.0
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] run_timer_softirq
     0.00%     0.00%  kswapd1          [unknown]                  [.] 0000000000000000
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] calc_global_load_tick
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] mem_cgroup_update_lru_size
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] cpumask_next_and
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] next_online_pgdat
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] __update_load_avg_blocked_se
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] swap_page_sector
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] _raw_spin_lock
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] zram_free_page
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] irq_work_tick
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] do_dentry_open
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] mpol_misplaced
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] __queue_work
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  redis-server     redis-check-rdb            [.] dictSdsKeyCompare
     0.00%     0.00%  memtier_benchma  libc.so.6                  [.] cfree
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] kfree_rcu_shrink_count
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] native_apic_msr_eoi_write
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] chacha_permute
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] proc_single_open
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] page_remove_rmap
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] uncharge_page
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]          [k] migrate_page_states
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]          [k] migrate_page_copy
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] do_syscall_64
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] set_normalized_timespec64
     0.00%     0.00%  kswapd0          [kernel.kallsyms]          [k] page_vma_mapped_walk
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] find_busiest_group
     0.00%     0.00%  kswapd0          [kernel.kallsyms]          [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kswapd0          [kernel.kallsyms]          [k] __count_memcg_events
     0.00%     0.00%  kswapd0          [kernel.kallsyms]          [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kswapd0          [kernel.kallsyms]          [k] cgroup_rstat_updated
     0.00%     0.00%  kswapd0          [kernel.kallsyms]          [k] count_memcg_page_event.isra.0
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] walk_component
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] queue_work_on
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] link_path_walk.part.0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] queued_read_lock_slowpath
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] sched_clock
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] page_cpupid_xchg_last
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] read_tsc
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] page_counter_cancel
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] __mem_cgroup_uncharge
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] page_counter_uncharge
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] uncharge_batch
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] propagate_protected_usage
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] timekeeping_advance
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] tick_do_update_jiffies64.part.0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] task_numa_fault
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __msecs_to_jiffies
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] policy_node
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] page_remove_rmap
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] rmap_walk
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] rmap_walk_anon
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] __swap_entry_free_locked
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] rb_insert_color
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] cpumask_next
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] lookup_fast
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] enqueue_hrtimer
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] up_read
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] select_task_rq_fair
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] _warn_unseeded_randomness
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] blk_try_enter_queue
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] arch_cpu_idle_exit
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] rmap_walk
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] rmap_walk_anon
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] try_to_migrate
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] try_to_migrate_one
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] ktime_get
     0.00%     0.00%  top              [kernel.kallsyms]          [k] do_task_stat
     0.00%     0.00%  top              [kernel.kallsyms]          [k] proc_tgid_stat
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] error_entry
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] lock_page_memcg
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] core_get_val
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] blk_queue_exit
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]          [k] page_counter_charge
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] do_swap_page
     0.00%     0.00%  irqbalance       [kernel.kallsyms]          [k] show_interrupts
     0.00%     0.00%  snapd            [kernel.kallsyms]          [k] __handle_mm_fault
     0.00%     0.00%  snapd            [kernel.kallsyms]          [k] asm_exc_page_fault
     0.00%     0.00%  snapd            [kernel.kallsyms]          [k] do_user_addr_fault
     0.00%     0.00%  snapd            [kernel.kallsyms]          [k] exc_page_fault
     0.00%     0.00%  snapd            [kernel.kallsyms]          [k] handle_mm_fault
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] shmem_unused_huge_count
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] __x64_sys_exit_group
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] do_exit
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] do_group_exit
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] exit_mmap
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] mmput
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] clockevents_program_event
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] tick_program_event
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] down_read
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] __set_page_dirty_no_writeback
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] should_numa_migrate_memory
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] anon_vma_interval_tree_iter_first
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] __xas_next
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] __bitmap_andnot
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] ____fput
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] __fput
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] hrtimer_update_next_event
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] rcu_accelerate_cbs
     0.00%     0.00%  snapd            [kernel.kallsyms]          [k] do_syscall_64
     0.00%     0.00%  snapd            [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] _raw_spin_lock_irq
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] rcu_gp_cleanup
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] free_pcp_prepare
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] rcu_accelerate_cbs
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] migrate_page_move_mapping
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] update_io_ticks
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] profile_tick
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] __alloc_pages
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] alloc_pages_vma
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] get_page_from_freelist
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] zs_map_object
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] __x64_sys_execve
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] bprm_execve
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] do_execveat_common
     0.00%     0.00%  fido_id          [kernel.kallsyms]          [k] load_elf_binary
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] note_gp_changes
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] queued_spin_unlock
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] idr_find
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] security_file_mprotect
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] can_stop_idle_tick
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] tick_nohz_irq_exit
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] effective_cpu_util
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] lapic_next_deadline
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] process_one_work
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] down_read_trylock
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] dequeue_task_fair
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] dequeue_task
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] note_gp_changes
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] task_tick_fair
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] filename_lookup
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] user_path_at_empty
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] strlen
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] tick_nohz_get_next_hrtimer
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] link_path_walk.part.0
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] update_blocked_averages
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] zswap_frontswap_store
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] rcu_gp_init
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] irqentry_enter
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] enqueue_hrtimer
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] __cpuset_node_allowed
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] raise_softirq
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] single_open
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] invoke_rcu_core
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] timekeeping_update
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] obj_free
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] walk_component
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] idle_cpu
     0.00%     0.00%  kworker/40:2-mm  [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/40:2-mm  [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  kworker/40:2-mm  [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] file_free_rcu
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] sched_clock_idle_wakeup_event
     0.00%     0.00%  memtier_benchma  memtier_benchmark          [.] move_next
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] file_free_rcu
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] activate_task
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] attach_task
     0.00%     0.00%  redis-server     [kernel.kallsyms]          [k] _extract_crng
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] cpumask_next_and
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] native_load_tls
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] cpufreq_this_cpu_can_update
