# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 23811225081354
#
# Children      Self  Command          Shared Object          Symbol                                             
# ........  ........  ...............  .....................  ...................................................
#
     0.00%     0.00%  top              [kernel.kallsyms]      [k] ksys_read
     0.00%     0.00%  top              [kernel.kallsyms]      [k] seq_read_iter
     0.00%     0.00%  top              [kernel.kallsyms]      [k] vfs_read
     0.00%     0.00%  top              [kernel.kallsyms]      [k] __x64_sys_openat
     0.00%     0.00%  top              [kernel.kallsyms]      [k] do_sys_openat2
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] page_not_mapped
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] putback_lru_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] x86_pmu_disable
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] remove_migration_pte
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] set_task_cpu
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] __msecs_to_jiffies
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] unlock_page_memcg
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] get_unused_fd_flags
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] aa_get_task_label
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] zs_shrinker_count
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] page_swapcount
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] force_qs_rnp
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] offset_to_swap_extent
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] page_counter_charge
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] try_to_inc_min_seq
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] invalidate_user_asid
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] strncpy_from_user
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] ktime_get_with_offset
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] rotate_reclaimable_page
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] apparmor_task_getsecid
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] page_add_new_anon_rmap
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] offset_to_swap_extent
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] insert_zspage
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] enqueue_hrtimer
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] swap_range_alloc
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __switch_to
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] free_unref_page_commit.constprop.0
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] free_unref_page
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] update_load_avg
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] rwsem_mark_wake
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] get_swap_page
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] add_to_swap
     0.00%     0.00%  memtier_benchma  memtier_benchmark      [.] hdr_record_values
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] free_pcp_prepare
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] irq_enter_rcu
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __xas_next
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] kfree_rcu_shrink_count
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] legitimize_root
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] tick_check_oneshot_broadcast_this_cpu
     0.00%     0.00%  migration/26     [kernel.kallsyms]      [k] cpu_stopper_thread
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] __pagevec_lru_add
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] lru_cache_add
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] get_swap_device
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] smp_call_function_single_async
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] irq_work_tick
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] bit_cursor
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] fb_flashcursor
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __mem_cgroup_threshold
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] memcg_check_events
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] deferred_split_count
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] free_pcp_prepare
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] get_nr_evictable
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] kthread_is_per_cpu
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] tick_do_update_jiffies64.part.0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __note_gp_changes
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]      [k] i40e_service_task
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] xas_load
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] deactivate_task
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] dequeue_task
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __irqentry_text_end
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] sugov_iowait_boost
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] scheduler_tick
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] migrate_task_to
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] cpumask_next_and
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] __mem_cgroup_uncharge
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] page_counter_uncharge
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] uncharge_batch
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] _raw_spin_lock
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] putname
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] task_numa_migrate.isra.0
     0.00%     0.00%  top              [kernel.kallsyms]      [k] do_filp_open
     0.00%     0.00%  top              [kernel.kallsyms]      [k] path_openat
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] free_unref_page_commit.constprop.0
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] free_unref_page
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] format_decode
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] get_swap_device
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] detach_entity_cfs_rq
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] migrate_task_rq_fair
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] propagate_entity_cfs_rq
     0.00%     0.00%  kworker/2:1-mm_  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/2:1-mm_  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  kworker/2:1-mm_  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/2:1-mm_  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] super_cache_count
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] close_fd
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] chacha_block_generic
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] cpumask_next_and
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] generic_perform_write
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] swap_range_alloc
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] run_posix_cpu_timers
     0.00%     0.00%  redis-server     redis-check-rdb        [.] zmalloc
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __page_cache_release
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __mod_lruvec_page_state
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] native_smp_send_reschedule
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] __switch_to_xtra
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __cgroup_account_cputime_field
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] hrtick_update
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __fget_files
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __fget_light
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] xas_nomem
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] rcu_accelerate_cbs
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] put_dec_trunc8
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] do_memsw_account
     0.00%     0.00%  top              [kernel.kallsyms]      [k] do_task_stat
     0.00%     0.00%  top              [kernel.kallsyms]      [k] proc_single_show
     0.00%     0.00%  top              [kernel.kallsyms]      [k] proc_tgid_stat
     0.00%     0.00%  top              [kernel.kallsyms]      [k] seq_read
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] filp_close
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __add_to_page_cache_locked
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] irq_enter_rcu
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] __queue_work
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] drm_fb_helper_damage.isra.0
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] drm_fbdev_fb_imageblit
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] insert_work
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] queue_work_on
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] soft_cursor
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] try_to_wake_up
     0.00%     0.00%  kworker/u97:7-f  [kernel.kallsyms]      [k] wake_up_process
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] perf_swevent_start
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] expected_page_refs
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] task_sched_runtime
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] thread_group_cputime
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] thread_group_cputime_adjusted
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] task_numa_find_cpu
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] touch_softlockup_watchdog_sched
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] queued_spin_unlock
     0.00%     0.00%  irqbalance       [kernel.kallsyms]      [k] vsnprintf
     0.00%     0.00%  irqbalance       [kernel.kallsyms]      [k] seq_printf
     0.00%     0.00%  kworker/u97:1-e  [kernel.kallsyms]      [k] fb_flashcursor
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] rcu_segcblist_advance
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __ptep_modify_prot_start
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __d_lookup
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] irq_work_run_list
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __legitimize_mnt
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __legitimize_path
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] zswap_frontswap_store
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] xas_start
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __mem_cgroup_try_charge_swap
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] task_tick_idle
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] run_posix_cpu_timers
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] dequeue_task_fair
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] mem_cgroup_charge_statistics.constprop.0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] asm_sysvec_reschedule_ipi
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] raise_softirq
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] mem_cgroup_swapin_uncharge_swap
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] jbd2__journal_start
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __ext4_journal_start_sb
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] restore_regs_and_return_to_kernel
     0.00%     0.00%  redis-server     libc.so.6              [.] 0x00000000001b254b
     0.00%     0.00%  kworker/u97:1-e  [kernel.kallsyms]      [k] mpage_prepare_extent_to_map
     0.00%     0.00%  migration/35     [kernel.kallsyms]      [k] cpu_stopper_thread
     0.00%     0.00%  migration/35     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/35     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/35     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] save_fpregs_to_fpstate
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] timekeeping_advance
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] update_wall_time
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] seq_open
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] wake_q_add
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] put_prev_entity
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] page_counter_charge
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] walk_pmd_range_locked.isra.0
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] swap_page_sector
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] _raw_spin_trylock
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] xas_alloc
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] total_mapcount
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] __isolate_free_page
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]      [k] i40e_update_pf_stats
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] zcomp_stream_put
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] _raw_spin_lock
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] sysvec_reschedule_ipi
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] clear_page_erms
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] clean_page_buffers
     0.00%     0.00%  migration/14     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/14     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/14     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] stop_one_cpu
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] mem_cgroup_get_nr_swap_pages
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] ksm_migrate_page
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] deactivate_task
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] task_tick_fair
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] _find_first_bit
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] page_swap_info
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] list_lru_count_one
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] mempolicy_slab_node
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_nmi_exit
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __x86_indirect_thunk_rax
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] setup_object.isra.0
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] clean_page_buffers
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] __pagevec_lru_add
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] lru_cache_add
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] putback_lru_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] x2apic_send_IPI
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] migrate_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] move_to_new_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] set_next_buddy
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] nohz_csd_func
     0.00%     0.00%  kworker/u97:1-e  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  irqbalance       [kernel.kallsyms]      [k] show_interrupts
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] call_rcu
     0.00%     0.00%  redis-server     [unknown]              [.] 0000000000000000
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] is_vmalloc_addr
     0.00%     0.00%  redis-server     libc.so.6              [.] 0x00000000001b253d
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] task_work_add
     0.00%     0.00%  migration/27     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/27     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/27     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __get_user_nocheck_1
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] sugov_update_single_freq
     0.00%     0.00%  migration/8      [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/8      [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/8      [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] build_open_flags
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] del_timer_sync
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] make_kuid
     0.00%     0.00%  memtier_benchma  libc.so.6              [.] 0x00000000001b2eae
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] wb_workfn
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] wb_writeback
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] _find_next_bit
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] is_cpu_allowed
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] try_to_migrate
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] try_to_migrate_one
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] lru_gen_add_page
     0.00%     0.00%  kworker/u97:1-e  [kernel.kallsyms]      [k] bit_cursor
     0.00%     0.00%  kworker/u97:1-e  [kernel.kallsyms]      [k] drm_fbdev_fb_imageblit
     0.00%     0.00%  kworker/u97:1-e  [kernel.kallsyms]      [k] soft_cursor
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] intel_cpufreq_trace
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] page_counter_cancel
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __resolve_freq
     0.00%     0.00%  redis-server     libjemalloc.so.2       [.] malloc
     0.00%     0.00%  redis-server     libc.so.6              [.] 0x00000000001b25e6
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] do_try_to_free_pages
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] evict_pages
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_lruvec
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_node
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] try_to_free_pages
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] kernel_init_free_pages.part.0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] perf_iterate_sb
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] perf_event_mmap
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __x64_sys_getpid
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] wake_up_process
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] try_to_inc_min_seq
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] hrtick_update
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] __buffer_migrate_page.part.0
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] buffer_migrate_page_norefs
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] invalidate_bh_lrus
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] activate_task
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] attach_task
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] update_io_ticks
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] free_pcppages_bulk
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] smp_call_function_many_cond
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] __x64_sys_madvise
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] do_madvise.part.0
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] do_syscall_64
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] flush_tlb_mm_range
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] native_flush_tlb_multi
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] zap_page_range
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] update_load_avg
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] ext4_reserve_inode_write
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] strncpy
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] hrtimer_forward
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] proc_pid_permission
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] restore_regs_and_return_to_kernel
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] update_vsyscall
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] dequeue_entity
     0.00%     0.00%  redis-server     libjemalloc.so.2       [.] malloc_usable_size
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] compact_lock_irqsave
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __update_idle_core
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] pick_next_task_idle
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] vma_set_page_prot
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] rb_erase
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __smp_call_single_queue
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] update_numa_stats
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] inc_cluster_info_page
     0.00%     0.00%  migration/21     [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  migration/21     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/21     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/21     [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  migration/21     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] __bitmap_and
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] __mod_timer
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] ext4_mark_iloc_dirty
     0.00%     0.00%  migration/7      [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/7      [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/7      [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  kworker/u97:1-e  [kernel.kallsyms]      [k] wb_over_bg_thresh
     0.00%     0.00%  migration/9      [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/9      [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/9      [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  ksoftirqd/7      [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __fdget
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] ptep_clear_flush_young
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] security_file_mprotect
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __do_fault
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_locked_key_bookmark
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] filemap_fault
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] unlock_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] wake_page_function
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] wake_up_page_bit
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] wake_up_state
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] sugov_iowait_apply
     0.00%     0.00%  kworker/20:1-mm  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/20:1-mm  [kernel.kallsyms]      [k] ret_from_fork
