# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 49246729955078
#
# Children      Self  Command          Shared Object          Symbol                                                   
# ........  ........  ...............  .....................  .........................................................
#
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_nmi_exit
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] rcu_segcblist_accelerate
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] zs_map_object
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] dequeue_task
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] workingset_eviction
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] invalid_migration_vma
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] effective_cpu_util
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] xas_create
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __run_timers.part.0
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] psi_task_switch
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] free_unref_page_list
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] zs_shrinker_count
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] file_update_time
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] tick_nohz_get_next_hrtimer
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] hrtick_update
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] irq_work_tick
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] native_write_msr
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] super_cache_count
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] ktime_get_with_offset
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] dequeue_entity
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] force_qs_rnp
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __queue_work
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] insert_work
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] lru_gen_add_page
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] account_idle_ticks
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] select_task_rq_fair
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] mem_cgroup_update_lru_size
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] swap_cgroup_record
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] file_free_rcu
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] down_read_trylock
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] sysvec_call_function
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] mutex_unlock
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] __queue_work
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] add_to_page_cache_lru
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] xas_create_range
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __task_pid_nr_ns
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] timekeeping_advance
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] update_wall_time
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] page_endio
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] anon_vma_interval_tree_iter_next
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] uncharge_batch
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] seq_put_decimal_ll
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] set_next_buddy
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] generic_permission
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] invoke_rcu_core
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __x64_sys_close
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] rwsem_spin_on_owner
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] timerqueue_add
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] find_busiest_group
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] reset_batch_size
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] cgroup_rstat_updated
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] osq_lock
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] mutex_unlock
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] test_clear_page_writeback
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] uncharge_batch
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] dequeue_task_fair
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __queue_work
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] delayed_work_timer_fn
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] cpumask_next
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] do_syscall_64
     0.00%     0.00%  jemalloc_bg_thd  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] generic_update_time
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] delayed_work_timer_fn
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] count_shadow_nodes
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] mempolicy_slab_node
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] mem_cgroup_from_task
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] idle_cpu
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] queued_spin_unlock
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] nd_jump_root
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] profile_tick
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] do_swap
     0.00%     0.00%  top              [kernel.kallsyms]      [k] do_task_stat
     0.00%     0.00%  top              [kernel.kallsyms]      [k] proc_single_show
     0.00%     0.00%  top              [kernel.kallsyms]      [k] proc_tgid_stat
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] invoke_rcu_core
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __mod_lruvec_page_state
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] page_add_new_anon_rmap
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] strncpy_from_user
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __get_user_nocheck_1
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] generic_perform_write
     0.00%     0.00%  irqbalance       [kernel.kallsyms]      [k] seq_printf
     0.00%     0.00%  top              [kernel.kallsyms]      [k] __x64_sys_openat
     0.00%     0.00%  top              [kernel.kallsyms]      [k] do_filp_open
     0.00%     0.00%  top              [kernel.kallsyms]      [k] do_sys_openat2
     0.00%     0.00%  top              [kernel.kallsyms]      [k] path_openat
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] rcu_read_unlock_strict
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __add_to_page_cache_locked
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] activate_task
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] attach_task
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] do_sys_poll
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __x64_sys_poll
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] ext4_reserve_inode_write
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] strlen
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] proc_task_name
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] mem_cgroup_id_put_many
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __switch_to
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] insert_work
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] __mod_memcg_state.part.0
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] sugov_get_util
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] mem_cgroup_id_get_online
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] rmap_walk
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] rmap_walk_anon
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __delete_from_swap_cache
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] set_page_dirty
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] xas_store
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] kvfree
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] security_file_alloc
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] rcu_all_qs
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] set_task_cpu
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_nmi_enter
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] lock_timer_base
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] reweight_entity
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] apparmor_file_alloc_security
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] page_counter_uncharge
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] rcu_segcblist_pend_cbs
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] rcu_gp_cleanup
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __ptep_modify_prot_start
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] set_pfnblock_flags_mask
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] dequeue_entity
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] native_smp_send_reschedule
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] try_to_unlazy_next
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] down_read_trylock
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] perf_event_mmap
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] check_preempt_curr
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] ttwu_do_wakeup
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] __mod_timer
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] irq_work_tick
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] fix_fullness_group
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] native_write_msr
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] sugov_iowait_boost
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] do_syscall_64
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __sysvec_call_function
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] lock_page_memcg
     0.00%     0.00%  top              [kernel.kallsyms]      [k] __x64_sys_newfstatat
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] ima_file_check
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] rcu_start_this_gp
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] inc_node_page_state
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] insert_work
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]      [k] i40e_update_pf_stats
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] page_counter_cancel
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] page_counter_uncharge
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] error_entry
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] isolate_migratepages_block
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] calc_global_load
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] raise_softirq
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __page_cache_release
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] memcpy_erms
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] rcu_gp_init
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] isolate_migratepages_block
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] __note_gp_changes
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] page_not_mapped
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] ttwu_queue_wakelist
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] migrate_page
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] can_migrate_task
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] timerqueue_del
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] anon_vma_interval_tree_iter_first
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] clear_page_erms
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] post_alloc_hook
     0.00%     0.00%  kcompactd1       [kernel.kallsyms]      [k] split_map_pages
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] super_cache_count
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] delayed_work_timer_fn
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] deactivate_task
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] restore_regs_and_return_to_kernel
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] alloc_misplaced_dst_page
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] set_normalized_timespec64
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] _find_first_bit
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] asm_sysvec_reschedule_ipi
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] down_read_trylock
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __ext4_get_inode_loc
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] ext4_get_inode_loc
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] get_page_from_freelist
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __alloc_pages
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] alloc_pages
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] ext4_mark_iloc_dirty
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] __resolve_freq
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] hrtimer_wakeup
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] expected_page_refs
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] detach_entity_cfs_rq
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] migrate_task_rq_fair
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] propagate_entity_cfs_rq
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] page_mapped
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] scan_swap_map_slots
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __frontswap_store
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] security_file_mprotect
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] _raw_spin_lock_irq
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] irq_work_run_list
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] zswap_frontswap_store
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] swap_duplicate
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] xas_create_range
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] mntput_no_expire
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] mem_cgroup_update_lru_size
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __mem_cgroup_threshold
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] kthread_is_per_cpu
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __count_memcg_events
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] flush_tlb_mm_range
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] apparmor_file_free_security
     0.00%     0.00%  memtier_benchma  libc.so.6              [.] 0x00000000000a6bc9
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] security_inode_permission
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] page_counter_cancel
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] list_lru_count_one
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] perf_iterate_sb
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/23     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] ntp_tick_length
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] hrtimer_forward
     0.00%     0.00%  memtier_benchma  libc.so.6              [.] 0x00000000001b2f9c
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] perf_swevent_start
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] __legitimize_path
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] page_swap_info
     0.00%     0.00%  kworker/15:1-mm  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  kworker/15:1-mm  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/15:1-mm  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] file_ra_state_init
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] rcu_cblist_dequeue
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] memcg_slab_free_hook
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] ext4_releasepage
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] free_buffer_head
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] jbd2_journal_try_to_free_buffers
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] kmem_cache_free
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] try_to_free_buffers
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] try_to_release_page
     0.00%     0.00%  top              [kernel.kallsyms]      [k] __do_sys_newfstatat
     0.00%     0.00%  top              [kernel.kallsyms]      [k] vfs_statx
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] aa_get_task_label
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] security_task_getsecid_subj
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] smp_call_function_many_cond
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] flush_tlb_mm_range
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] native_flush_tlb_multi
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] ptep_clear_flush
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] try_to_migrate
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] try_to_migrate_one
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] set_task_rq_fair
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] swap_duplicate
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] raw_notifier_call_chain
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] errseq_sample
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __mod_node_page_state
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] newidle_balance
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] ext4_mark_iloc_dirty
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]      [k] ext4_finish_bio
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]      [k] ext4_end_io_rsv_work
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]      [k] ext4_release_io_end
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] proc_pid_permission
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] save_fpregs_to_fpstate
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] rb_insert_color
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] zs_map_object
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] mem_cgroup_iter
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] cpuacct_charge
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] update_curr
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] rwsem_mark_wake
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] activate_task
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] attach_task
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] page_swap_info
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] apparmor_task_getsecid
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] profile_tick
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] timekeeping_update
     0.00%     0.00%  top              [kernel.kallsyms]      [k] lookup_fast
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]      [k] process_one_work
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] try_to_free_swap
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] raw_spin_rq_lock_nested
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] error_return
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] flush_tlb_func
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] put_dec_trunc8
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] ntp_get_next_leap
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] set_bloom_filter
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] prepare_to_swait_event
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] nohz_balance_exit_idle
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] swap_set_page_dirty
     0.00%     0.00%  top              [kernel.kallsyms]      [k] __x64_sys_getdents64
     0.00%     0.00%  top              [kernel.kallsyms]      [k] iterate_dir
     0.00%     0.00%  top              [kernel.kallsyms]      [k] proc_pid_readdir
     0.00%     0.00%  top              [kernel.kallsyms]      [k] proc_root_readdir
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] del_timer_sync
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] anon_vma_interval_tree_iter_first
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] read_tsc
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] effective_cpu_util
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] up_read
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __cgroup_account_cputime_field
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] get_nr_evictable
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] ___slab_alloc
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] __mem_cgroup_uncharge
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] __put_page
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] page_counter_uncharge
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] uncharge_batch
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] irqentry_enter
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] ext4_da_write_end
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] __scsi_execute
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] blk_execute_rq
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] disk_check_events
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] disk_events_workfn
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] scsi_test_unit_ready
     0.00%     0.00%  kworker/u98:3-e  [kernel.kallsyms]      [k] sd_check_events
     0.00%     0.00%  irqbalance       [kernel.kallsyms]      [k] vsnprintf
     0.00%     0.00%  kworker/33:2-ev  [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  kworker/33:2-ev  [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  kworker/33:2-ev  [kernel.kallsyms]      [k] worker_thread
     0.00%     0.00%  top              [kernel.kallsyms]      [k] memset_erms
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] do_syscall_64
     0.00%     0.00%  snapd            [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] restore_regs_and_return_to_kernel
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] invalidate_user_asid
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] x86_pmu_disable
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] perf_swevent_stop
     0.00%     0.00%  migration/12     [kernel.kallsyms]      [k] kthread
     0.00%     0.00%  migration/12     [kernel.kallsyms]      [k] ret_from_fork
     0.00%     0.00%  migration/12     [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  migration/12     [kernel.kallsyms]      [k] smpboot_thread_fn
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] _raw_spin_lock
     0.00%     0.00%  redis-server     [kernel.kallsyms]      [k] strncpy
     0.00%     0.00%  kswapd1          [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
