# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 484K of event 'cycles'
# Event count (approx.): 18141146334815
#
# Children      Self  Command          Shared Object             Symbol                                                                
# ........  ........  ...............  ........................  ......................................................................
#
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f2e3
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f366
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f340
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x00000000000107f4
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] __count_memcg_events
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] hrtimer_active
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001b85b
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] sync_mm_rss
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] __x64_sys_mprotect
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] do_mprotect_pkey
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] tick_nohz_restart_sched_tick
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] memcg_check_events
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] load_balance
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] rebalance_domains
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] xas_nomem
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] zs_shrinker_count
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] timerqueue_del
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] total_mapcount
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] lru_add_drain_cpu
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] mem_cgroup_swapout
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] workingset_eviction
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] mem_cgroup_update_lru_size
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] __alloc_pages
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] kfree_rcu_shrink_count
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] tick_sched_do_timer
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] lzorle1x_1_compress
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] disk_start_io_acct
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] lru_cache_add_inactive_or_unevictable
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000000f030
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000004810
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001bc63
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] perf_swevent_stop
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000024ae1
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f9a4
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000197af
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f914
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] zcomp_compress
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000000b060
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000019344
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] llist_add_batch
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] __smp_call_single_queue
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] __pagevec_lru_add
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] lru_cache_add
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000000b0a1
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000195ca
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000016ebc
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001b898
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000020512
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f306
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x0000000000024a2c
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000000b080
     0.00%     0.00%  memtier_benchma  [vdso]                    [.] 0x0000000000000aff
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001d04d
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001bbe6
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000094f7
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] hrtimer_start_range_ns
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000008656
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000002f8ff
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000132a4
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] vsnprintf
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] seq_printf
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000001ee98
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x0000000000024c2c
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]         [k] __swap_writepage
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]         [k] bdev_write_page
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]         [k] pageout
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]         [k] zram_rw_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] zap_pte_range
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] unmap_page_range
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] zap_pmd_range.isra.0
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001d9a9
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000000aea5
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000013d50
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000013442
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000133a0
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000016eb9
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] update_vsyscall
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000002f8fc
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001485d
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000000aed4
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x00000000000249d4
     0.00%     0.00%  memcached        [vdso]                    [.] 0x00000000000008f0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] cr4_update_irqsoff
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001cf6a
     0.00%     0.00%  sshd             [kernel.kallsyms]         [k] do_syscall_64
     0.00%     0.00%  sshd             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000163e0
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001d0e5
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000016ed1
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001e16a
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]         [k] schedule_timeout
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000093ed
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000002f81d
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] reweight_entity
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000000f564
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] dequeue_task_fair
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] detach_tasks
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f312
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000000b0f8
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000098b2
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001d9c0
     0.00%     0.00%  memtier_benchma  [vdso]                    [.] 0x0000000000000806
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001ec94
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000009892
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] rcu_report_qs_rdp
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] update_sd_pick_busiest
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000013c63
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] irq_exit_rcu
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] zs_shrinker_count
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000013257
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] hrtimer_wakeup
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000148e8
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001ec71
     0.00%     0.00%  kworker/27:1-mm  [kernel.kallsyms]         [k] drain_local_pages_wq
     0.00%     0.00%  kworker/27:1-mm  [kernel.kallsyms]         [k] drain_pages_zone
     0.00%     0.00%  kworker/27:1-mm  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/27:1-mm  [kernel.kallsyms]         [k] process_one_work
     0.00%     0.00%  kworker/27:1-mm  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/27:1-mm  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] __zram_bvec_read.constprop.0
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] bdev_read_page
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] swap_readpage
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001d073
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010c92
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000002f9aa
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000000af37
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001ce5f
     0.00%     0.00%  kworker/u64:0    [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/u64:0    [kernel.kallsyms]         [k] process_one_work
     0.00%     0.00%  kworker/u64:0    [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/u64:0    [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x0000000000024c53
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f8fc
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] idr_find
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f9b3
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000013477
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000093c2
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000024c3d
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010b9f
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] do_try_to_free_pages
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] evict_pages
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] lru_gen_shrink_lruvec
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] shrink_node
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] shrink_node_memcgs
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] shrink_page_list
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] shrink_zones
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] try_to_free_pages
     0.00%     0.00%  kworker/0:2-eve  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/0:2-eve  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/0:2-eve  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000013d9c
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000139f3
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001cef6
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010cb8
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f781
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000013d3d
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000009a4f
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] __do_fault
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] do_fault
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] do_read_fault
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] ext4_filemap_fault
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] filemap_fault
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f35f
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000001eea6
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] __x64_sys_exit_group
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] do_exit
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] do_group_exit
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] exit_mm
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] exit_mmap
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] mmput
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] unmap_vmas
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f364
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] isolate_zspage
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]         [k] rmap_walk_anon
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010c0e
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002fae1
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010d93
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010c89
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000013237
     0.00%     0.00%  tuned            [kernel.kallsyms]         [k] do_fault
     0.00%     0.00%  tuned            [kernel.kallsyms]         [k] do_read_fault
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000001fa8b
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000022263
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001cf58
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001ecc6
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f7a1
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f8e2
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] __hrtimer_start_range_ns
     0.00%     0.00%  dnf              libpython3.6m.so.1.0      [.] 0x000000000017cad7
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] __ghes_peek_estatus.isra.0
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] apei_read
     0.00%     0.00%  kworker/30:1-mm  [kernel.kallsyms]         [k] free_pcppages_bulk
     0.00%     0.00%  kworker/30:1-mm  [kernel.kallsyms]         [k] drain_local_pages_wq
     0.00%     0.00%  kworker/30:1-mm  [kernel.kallsyms]         [k] drain_pages_zone
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] clean_buffers
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] lapic_next_event
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000001f212
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000024ab0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] irq_work_run_list
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] idle_cpu
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] call_timer_fn
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x00000000000204fa
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001329c
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] rcu_is_cpu_rrupt_from_idle
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001486b
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] clear_page_rep
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] kernel_init_free_pages.part.0
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010b70
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] native_iret
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f8ff
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f789
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] __x86_indirect_thunk_rax
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] default_send_IPI_mask_sequence_phys
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000001f1e6
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000001edac
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] do_swap_page
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x00000000000204fa
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] show_interrupts
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000009d78
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001d9dd
     0.00%     0.00%  perf             [kernel.kallsyms]         [k] try_to_unmap_one
     0.00%     0.00%  perf             [kernel.kallsyms]         [k] try_to_unmap
     0.00%     0.00%  memcached        memcached                 [.] 0x00000000000098d2
     0.00%     0.00%  kworker/26:2-ev  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/26:2-ev  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/26:2-ev  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002fb40
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] account_user_time
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] tick_do_update_jiffies64.part.0
     0.00%     0.00%  kworker/30:1-mm  [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath.part.0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] __cgroup_account_cputime_field
     0.00%     0.00%  memtier_benchma  [vdso]                    [.] __vdso_clock_gettime
     0.00%     0.00%  dnf              [kernel.kallsyms]         [k] __default_send_IPI_dest_field
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000002f995
     0.00%     0.00%  memtier_benchma  [vdso]                    [.] 0x00000000000008f8
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f318
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000021f1c
     0.00%     0.00%  memcached        libc-2.28.so              [.] __nanosleep
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000021f26
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] native_irq_return_iret
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000016370
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000004874
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000024c5d
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000000aef4
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000000ffe0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] delay_halt
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] __do_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] __handle_mm_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] asm_exc_page_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] do_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] do_read_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] do_sync_mmap_readahead
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] do_user_addr_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] exc_page_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] ext4_filemap_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] filemap_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] handle_mm_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] page_cache_ra_unbounded
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] remap_page
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] remove_migration_ptes
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] irqtime_account_process_tick
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] perf_pmu_nop_void
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] asm_common_interrupt
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] common_interrupt
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] perf_pmu_nop_void
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010d61
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] __alloc_pages
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] __handle_mm_fault
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] alloc_pages_vma
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] asm_exc_page_fault
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] do_try_to_free_pages
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] do_user_addr_fault
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] evict_pages
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] exc_page_fault
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] handle_mm_fault
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] lru_gen_shrink_lruvec
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] shrink_node
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] shrink_node_memcgs
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] shrink_page_list
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] shrink_zones
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] try_to_free_pages
     0.00%     0.00%  sssd_be          [kernel.kallsyms]         [k] wp_page_copy
     0.00%     0.00%  memtier_benchma  [vdso]                    [.] 0x00000000000008ac
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010c59
     0.00%     0.00%  kworker/29:1-mm  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/29:1-mm  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/29:1-mm  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000001edcd
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000016360
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f90a
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] SetZsPageMovable.isra.0
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] smp_call_function_many_cond
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] __alloc_pages
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] __do_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] __handle_mm_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] arch_tlbbatch_flush
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] asm_exc_page_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] do_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] do_read_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] do_sync_mmap_readahead
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] do_try_to_free_pages
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] do_user_addr_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] evict_pages
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] exc_page_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] ext4_filemap_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] filemap_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] handle_mm_fault
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] lru_gen_shrink_lruvec
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] on_each_cpu_cond_mask
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] page_cache_ra_unbounded
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] shrink_node
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] shrink_node_memcgs
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] shrink_page_list
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] shrink_zones
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] try_to_free_pages
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] try_to_unmap_flush_dirty
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x00000000000204b1
     0.00%     0.00%  memcached        memcached                 [.] 0x0000000000022370
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f9ac
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2     [.] 0x0000000000024c41
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010da9
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000001f247
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010780
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010160
     0.00%     0.00%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010d6e
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] perf_swevent_start
     0.00%     0.00%  memcached        memcached                 [.] 0x000000000001b800
     0.00%     0.00%  memcached        [kernel.kallsyms]         [k] inc_cluster_info_page
