# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 26161556673991
#
# Children      Self  Command          Shared Object        Symbol                                          
# ........  ........  ...............  ...................  ................................................
#
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] wb_workfn
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  top              [kernel.kallsyms]    [k] vfs_open
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] setup_object.isra.0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] perf_pmu_nop_void
     0.00%     0.00%  memtier_benchma  [unknown]            [.] 0000000000000000
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] __ext4_mark_inode_dirty
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] ext4_dirty_inode
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __task_pid_nr_ns
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]    [k] process_one_work
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]    [k] wb_workfn
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] error_entry
     0.00%     0.00%  irqbalance       [kernel.kallsyms]    [k] seq_printf
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] arch_local_irq_disable
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] propagate_entity_cfs_rq
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] buffer_migrate_page
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] check_tsc_unstable
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_update_size
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] update_load_avg
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] send_call_function_single_ipi
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] can_migrate_task
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] pid_revalidate
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] rcu_all_qs
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] task_tick_idle
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] intel_cpufreq_update_pstate
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] __ext4_journal_stop
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] jbd2_journal_stop
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] __buffer_migrate_page.part.0
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] memcg_check_events
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] llist_add_batch
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] task_numa_find_cpu
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] rcu_read_unlock_strict
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] __writeback_inodes_wb
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] __writeback_single_inode
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] do_writepages
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] ext4_writepages
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] process_one_work
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] wb_workfn
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] wb_writeback
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  kworker/u98:1-w  [kernel.kallsyms]    [k] writeback_sb_inodes
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] free_pcp_prepare
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] calc_global_load_tick
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] perf_swevent_stop
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] save_fpregs_to_fpstate
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] dequeue_entity
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] raise_softirq
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] irq_work_tick
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] try_to_unmap_one
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] alloc_page_buffers
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] __radix_tree_lookup
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] idr_find
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] radix_tree_lookup
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] __mod_node_page_state
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] __mod_memcg_state.part.0
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] flush_tlb_func
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] page_mapping
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] _find_next_bit
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] radix_tree_node_rcu_free
     0.00%     0.00%  top              [kernel.kallsyms]    [k] do_task_stat
     0.00%     0.00%  top              [kernel.kallsyms]    [k] proc_single_show
     0.00%     0.00%  top              [kernel.kallsyms]    [k] proc_tgid_stat
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] mem_cgroup_update_lru_size
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] mem_cgroup_calculate_protection
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] blk_finish_plug
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]    [k] dequeue_entity
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] set_pfnblock_flags_mask
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] free_compound_page
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] free_transhuge_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] mem_cgroup_from_task
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] task_sched_runtime
     0.00%     0.00%  kworker/17:1-mm  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/17:1-mm  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/17:1-mm  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] security_file_alloc
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] select_task_rq_fair
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]    [k] rcu_gp_init
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] mutex_lock
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] jbd2__journal_start
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] __ext4_journal_start_sb
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] security_task_getsecid_subj
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] __writeback_inodes_wb
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] __writeback_single_inode
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] do_writepages
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] ext4_writepages
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] wb_writeback
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] writeback_sb_inodes
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_reschedule_ipi
     0.00%     0.00%  top              [kernel.kallsyms]    [k] do_dentry_open
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] generic_exec_single
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __switch_to
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock_irq
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] _find_first_bit
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] remove_wait_queue
     0.00%     0.00%  snapd            [kernel.kallsyms]    [k] do_syscall_64
     0.00%     0.00%  snapd            [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] error_return
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] load_new_mm_cr3
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] generic_perform_write
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] update_fast_timekeeper
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] restore_regs_and_return_to_kernel
     0.00%     0.00%  top              [kernel.kallsyms]    [k] asm_exc_page_fault
     0.00%     0.00%  top              [kernel.kallsyms]    [k] do_user_addr_fault
     0.00%     0.00%  top              [kernel.kallsyms]    [k] exc_page_fault
     0.00%     0.00%  top              [kernel.kallsyms]    [k] handle_mm_fault
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] mempolicy_slab_node
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] page_vma_mapped_walk
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] timekeeping_advance
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] tick_do_update_jiffies64.part.0
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] update_wall_time
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] lapic_next_deadline
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] set_normalized_timespec64
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] __softirqentry_text_start
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] irq_exit_rcu
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] nohz_csd_func
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] lru_gen_add_page
     0.00%     0.00%  kworker/45:3-mm  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/45:3-mm  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/45:3-mm  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] hrtimer_forward
     0.00%     0.00%  kworker/u96:1-n  [kernel.kallsyms]    [k] test_clear_page_writeback
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __swap_entry_free_locked
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_next_hrtimer
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] ext4_da_get_block_prep
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __legitimize_mnt
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __legitimize_path
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] legitimize_root
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] delayed_work_timer_fn
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] insert_work
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] arch_local_irq_disable
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] __mod_lruvec_page_state
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __cgroup_account_cputime
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] kfree_rcu_shrink_count
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] hugepage_vma_check
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] clean_buffers
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] add_mm_counter_fast
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] __migration_entry_wait
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] do_swap_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] migration_entry_wait
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] set_pte
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] kmem_cache_alloc
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] alloc_buffer_head
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]    [k] dyntick_save_progress_counter
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] __mod_lruvec_state
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] page_mapping
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] pud_val
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] activate_task
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] attach_task
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] asm_sysvec_reschedule_ipi
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] hrtimer_run_queues
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] send_call_function_single_ipi
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __page_cache_release
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] clockevents_program_event
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] tick_program_event
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] detach_entity_cfs_rq
     0.00%     0.00%  kworker/u98:2-f  [kernel.kallsyms]    [k] wb_writeback
     0.00%     0.00%  kworker/47:2-mm  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/47:2-mm  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/47:2-mm  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] intel_cpufreq_trace
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __d_lookup
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] core_get_val
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] generic_permission
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] __note_gp_changes
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] __bitmap_and
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] put_cpu_partial
     0.00%     0.00%  package-data-do  [kernel.kallsyms]    [k] do_syscall_64
     0.00%     0.00%  package-data-do  [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] nohz_balance_exit_idle
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] check_pte
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] __anon_vma_interval_tree_subtree_search
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] page_remove_rmap
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] native_flush_tlb_one_user
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] native_set_pte
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] rcu_start_this_gp
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] rcu_report_qs_rnp
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] apparmor_file_alloc_security
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] x2apic_send_IPI
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] native_send_call_func_single_ipi
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] __mod_timer
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] schedule_timeout
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] set_root
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] update_numa_stats
     0.00%     0.00%  migration/2      [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  migration/2      [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  migration/2      [kernel.kallsyms]    [k] smpboot_thread_fn
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]    [k] calc_wheel_index
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] build_open_flags
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] __queue_work
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] insert_work
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] queue_work_on
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] try_to_wake_up
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] vmpressure
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] wake_up_process
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] kmem_cache_alloc
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] lock_page_lruvec_irqsave
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] page_counter_try_charge
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] strncpy_from_user
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] __bitmap_and
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] kvmalloc_node
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] is_vmalloc_addr
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] get_next_vma
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] raw_notifier_call_chain
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] __xas_next
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] sugov_iowait_apply
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] __cgroup_throttle_swaprate
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] ptep_clear_flush_young
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] page_mapping
     0.00%     0.00%  kworker/22:1-ev  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/22:1-ev  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/22:1-ev  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] get_unused_fd_flags
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] __schedule
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] cpumask_next_and
     0.00%     0.00%  top              [kernel.kallsyms]    [k] memset_erms
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]    [k] process_one_work
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/39:1-ev  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] set_task_rq_fair
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] clear_page_erms
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] __mod_lruvec_page_state
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] __mod_lruvec_state
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] blk_flush_plug_list
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] fput
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]    [k] process_one_work
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]    [k] vmstat_update
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __lookup_mnt
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] common_interrupt
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] native_write_msr
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] native_send_call_func_single_ipi
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] send_call_function_single_ipi
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] x2apic_send_IPI
     0.00%     0.00%  kworker/u98:4-w  [kernel.kallsyms]    [k] mpage_prepare_extent_to_map
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] anon_vma_interval_tree_iter_next
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] page_get_anon_vma
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __x64_sys_getpid
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] mod_node_page_state
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] __next_zones_zonelist
     0.00%     0.00%  kworker/36:1-ev  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/36:1-ev  [kernel.kallsyms]    [k] process_one_work
     0.00%     0.00%  kworker/36:1-ev  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/36:1-ev  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] clean_page_buffers
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] generic_write_end
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] ext4_da_write_end
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_add_page
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] kthread_is_per_cpu
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] has_bh_in_lru
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] buffer_migrate_page_norefs
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] invalidate_bh_lrus
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] __bitmap_and
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] hrtimer_active
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] mem_cgroup_id_get_online
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] __swap_entry_free_locked
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] restore_regs_and_return_to_kernel
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] split_huge_pmd_address
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] errseq_sample
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] __sched_setaffinity
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] __set_cpus_allowed_ptr_locked
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] __x64_sys_sched_setaffinity
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] sched_setaffinity
     0.00%     0.00%  kworker/17:1-mm  [kernel.kallsyms]    [k] __schedule
     0.00%     0.00%  kworker/17:1-mm  [kernel.kallsyms]    [k] schedule
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] asm_exc_page_fault
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] flush_tlb_mm_range
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] pmdp_clear_flush_young
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] asm_common_interrupt
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] common_interrupt
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]    [k] lock_timer_base
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] file_ra_state_init
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] ext4_mark_iloc_dirty
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] deferred_split_count
     0.00%     0.00%  kworker/19:1-mm  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/19:1-mm  [kernel.kallsyms]    [k] process_one_work
     0.00%     0.00%  kworker/19:1-mm  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/19:1-mm  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] cursor_timer_handler
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] blk_start_plug
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] io_schedule
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] put_and_wait_on_page_locked
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] wait_on_page_bit_common
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] stop_this_handle
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] mutex_unlock
     0.00%     0.00%  irqbalance       [kernel.kallsyms]    [k] vsnprintf
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] end_page_writeback
     0.00%     0.00%  kswapd0          [kernel.kallsyms]    [k] page_endio
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kworker/45:3-mm  [kernel.kallsyms]    [k] process_one_work
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] lock_page_lruvec_irqsave
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] rebalance_domains
     0.00%     0.00%  kswapd1          [kernel.kallsyms]    [k] run_rebalance_domains
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] rmap_walk
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] rmap_walk_anon
     0.00%     0.00%  kworker/u97:7-e  [kernel.kallsyms]    [k] blkcg_rstat_flush
     0.00%     0.00%  kworker/44:1-ev  [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  kworker/44:1-ev  [kernel.kallsyms]    [k] process_one_work
     0.00%     0.00%  kworker/44:1-ev  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  kworker/44:1-ev  [kernel.kallsyms]    [k] worker_thread
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] raw_spin_rq_unlock
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] kthread_is_per_cpu
     0.00%     0.00%  top              [kernel.kallsyms]    [k] getname
     0.00%     0.00%  top              [kernel.kallsyms]    [k] getname_flags.part.0
     0.00%     0.00%  top              [kernel.kallsyms]    [k] kvmalloc_node
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]    [k] rcu_implicit_dynticks_qs
     0.00%     0.00%  migration/3      [kernel.kallsyms]    [k] kthread
     0.00%     0.00%  migration/3      [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  migration/3      [kernel.kallsyms]    [k] smpboot_thread_fn
     0.00%     0.00%  top              [kernel.kallsyms]    [k] __handle_mm_fault
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]    [k] __mod_memcg_lruvec_state
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __get_task_comm
     0.00%     0.00%  perf             [kernel.kallsyms]    [k] affine_move_task
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] llist_reverse_order
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] cpu_stop_queue_work
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] stop_one_cpu_nowait
     0.00%     0.00%  swapper          [kernel.kallsyms]    [k] wake_up_q
     0.00%     0.00%  kworker/u96:1-n  [kernel.kallsyms]    [k] mem_cgroup_wb_domain
     0.00%     0.00%  redis-server     [kernel.kallsyms]    [k] __d_lookup_rcu
     0.00%     0.00%  ksoftirqd/4      [kernel.kallsyms]    [k] __schedule
